when	unit	kind	hypothesis_or_decision	evidence	verdict
2026-08-31T20:30-07:00	frame	decision	Access = two per-user module toggles (kitchen_requests, kitchen_display); tag = login handle; manager-managed item list seeded with 6 mockup items	David's answers in session; docs/phases/kitchen-requests-contract.md	CONFIRMED
2026-08-31T20:30-07:00	frame	decision	Web sign-in on /kitchen supports name+PIN (login-with-name + verifyOtp) and email+password; prod has 0/13 profiles with a login identity so tag falls back to normalize_login_name(users.name)	Supabase read-only query on whrohvitvmcrmedepurd	CONFIRMED
2026-08-31T20:35-07:00	frame	decision	Branch feat/kitchen-requests cut from origin/main 1e52e7a in .claude/worktrees/kitchen-requests; chore/smelter-cleanup only moves docs/assets and is unpushed, so nothing stacks	git show --stat 1af7b46; git ls-remote	CONFIRMED
2026-08-31T20:40-07:00	orchestration	decision	Large tier: Codex Sol owns migration + SQL fixture + accept-invite keys; Claude owns web app, dashboard, types splice, tests, E2E; cross-review both ways	memory claude-frontend-codex-backend	CONFIRMED
2026-08-31T20:55-07:00	harness	experiment	Full local Supabase stack can host the prod schema: supabase start with [db.migrations] enabled=false, then baseline + post-cutoff migrations via psql; 26/27 main migrations apply, 20260828 tips migration fails on the snapshot (pre-existing: scripts/local-db/verify-migrations.sh also fails on plain main at that file)	scripts/local-db/full-stack.sh; harness run output	VERIFIED
2026-08-31T21:05-07:00	web-lib	unit	Pure request state (merge by id, pending by client key, undo window, log/queue ordering, signature) + access resolution + formatting	web/src/lib/kitchen/__tests__ (24 tests) via npm run test	VERIFIED
2026-08-31T21:20-07:00	web-app	unit	/kitchen gate + login (name+PIN, email) + chef/display screens + dashboard Kitchen items page + module keys; typecheck, lint, 261 vitest, next build all green	npm run typecheck; npm run lint; npm run test; npm run build (commit 37b280c)	VERIFIED
2026-08-31T21:45-07:00	backend	unit	Codex Sol migration 20260831120000_kitchen_requests.sql + fixture applied on the local full stack (real auth.uid, RLS, grants); fixture PASS with every contract error code, idempotent replay, four transitions, RLS per location/module, anon refused	scripts/local-db/kitchen_requests_fixture.sql run on supabase_db_kitchen-requests	VERIFIED
2026-08-31T21:45-07:00	backend	review	Claude read the migration against the contract: idempotent DDL, bare-code raises with hints, for-update locking, unique_violation replay, RLS + grants as specified; note kitchen_user_location_ok requires a public.users row (all 13 prod profiles have one)	migration file review	VERIFIED
2026-08-31T22:10-07:00	e2e	unit	Playwright kitchen suite (7 scenarios: send→live→ready→READY→got it; undo; cancel; offline fail + retry lands exactly once; name+PIN sign-in shows username/@tag; no-access + manager both screens; other-location display isolated) all pass against the local full stack	web/e2e/kitchen.spec.ts run, 7 passed (26 s)	VERIFIED
2026-08-31T22:10-07:00	env	finding	Local edge runtime cannot boot login-with-name: esm.sh/@supabase/supabase-js@2.57.2 now points its types at storage-js@2.99.1/dist/module/StorageClient which 404s; prod serves the bundle built at deploy time so it still works. name+PIN E2E was run with a temporary local-only ?no-dts import (reverted, not committed)	curl esm.sh 404; docker logs supabase_edge_runtime_kitchen-requests	VERIFIED
2026-08-31T22:10-07:00	backend	fix	Explicit service_role grants on kitchen tables (prod default ACL would grant them anyway; the local stack has none); kitchen_actor_identity typed as a single record (PostgREST returns an object); E2E fixture seeds the two locations	supabase gen types diff vs database.ts; fixture rerun	VERIFIED
2026-08-31T22:40-07:00	web-lib	bug	Stale fetch race: after Wi-Fi returns, the online-refetch can start before the retried insert commits and its empty response erased the row the RPC had just added (sheet flipped back to idle). Fixed with a clock-free sequence stamp: applyFetch(rows, sinceSeq) keeps rows updated after the fetch was issued. Reproduced by E2E run 3 of the offline-retry scenario, then 3/3 green after the fix	web/src/lib/kitchen/state.ts, state.test.ts "stale fetches"; kitchen.spec.ts x3	VERIFIED
2026-08-31T22:40-07:00	web-app	fidelity	Screens compared to the mockup: header collision fixed (identity moved to its own line), Undo capped at 6 s (stale 1 s clock read 7 s), ready line truncates; dev-only "1 Issue" badge is React eval() vs the strict CSP, never in production	docs/phases/kitchen-requests-demo/*.png	VERIFIED
2026-08-31T23:20-07:00	review	cross-vendor	Codex Sol reviewed the frontend (commits 37b280c..d71f62a): 2 blockers (stale-fetch race; ready/undo ordering + rollback clobbering), 6 majors (pending sends lost on refresh; items/requests fetch coupling; RPC reasons hidden on failed sends; two-step reorder; blur-save race; weak idempotency E2E), 1 minor (FunctionsFetchError). All fixed in c5d6e3c: updated_at ordering + per-request action queue, seq-stamped fetch merge with out-of-order guard, localStorage replay of unacknowledged sends, independent fetches, server hint + non-retryable handling, atomic renumbered upsert, serialised saves with render-time draft sync, E2E asserts same client_key + server-side replay returns the same row	Codex session 01a05b0c-1e9d-7ca2-bc50-7d1a0cd5a7fd; web/e2e/kitchen.spec.ts 10/10 x2	VERIFIED
2026-09-01T00:30-07:00	review	adversarial	Claude (Opus) adversarially reviewed the migration: BLOCKER kitchen_actor_identity was an open directory of login handles; MAJOR update RPC lacked the module/suspension gate and its no-op paths leaked rows; MAJOR replay ran after validation so a deactivated item could force a duplicate; MAJOR grants left prod default truncate/trigger on authenticated; MAJOR fixture never tested chef-cannot-ready, display-cannot-send, suspended cancel, direct DML, anon RPC, manager override, identity fallback; MINORs: items policy unscoped by location, FK cascade vs restrict, null client_key/unknown action codes, index shape, created_by pin, status/timestamp CHECK	agent transcript; migration + fixture diff	VERIFIED
